word,frequency,percentage,percentage_str,pos
某某,4,0.04,0.04%,r
新剧,4,0.04,0.04%,n
差,3,0.03,0.03%,a
生活,3,0.03,0.03%,vn
一种,3,0.03,0.03%,m
花,3,0.03,0.03%,v
博主,3,0.03,0.03%,n
预期,3,0.03,0.03%,vn
用户,3,0.03,0.03%,n
营销,3,0.03,0.03%,vn
套房,3,0.03,0.03%,n
T,3,0.03,0.03%,x
FSD,3,0.03,0.03%,eng
应该,3,0.03,0.03%,v
香港,3,0.03,0.03%,ns
谣言,3,0.03,0.03%,n
工作室,3,0.03,0.03%,n
维权,3,0.03,0.03%,n
声明,3,0.03,0.03%,n
九旬,3,0.03,0.03%,t
重启,3,0.03,0.03%,v
离世,3,0.03,0.03%,v
死刑,3,0.03,0.03%,v
东北,3,0.03,0.03%,ns
效率,3,0.03,0.03%,n
王祖贤,3,0.03,0.03%,nr
继承,3,0.03,0.03%,v
就业,3,0.03,0.03%,v
温以,3,0.03,0.03%,n
倒塌,3,0.03,0.03%,v
尹锡悦,3,0.03,0.03%,nr
举报,3,0.03,0.03%,v
全面,3,0.03,0.03%,n
关税,3,0.03,0.03%,n
最大,3,0.03,0.03%,a
到手,3,0.03,0.03%,d
就要,3,0.03,0.03%,d
突然,3,0.03,0.03%,ad
为何,3,0.03,0.03%,r
正式,3,0.03,0.03%,ad
一夜,3,0.03,0.03%,m
却,3,0.03,0.03%,d
界,3,0.03,0.03%,n
造型,3,0.03,0.03%,n
合照,3,0.03,0.03%,v
女博士,3,0.03,0.03%,n
首款,3,0.03,0.03%,n
高,3,0.03,0.03%,a
i,3,0.03,0.03%,x
推出,3,0.03,0.03%,v
跌超,3,0.03,0.03%,n
希望,3,0.03,0.03%,v
国产,3,0.03,0.03%,n
虞书欣,3,0.03,0.03%,nr
它,3,0.03,0.03%,r
高管,3,0.03,0.03%,n
投,3,0.03,0.03%,n
世界,3,0.03,0.03%,n
政府,3,0.03,0.03%,n
桥梁,3,0.03,0.03%,n
玩,3,0.03,0.03%,v
王楚,3,0.03,0.03%,n
工程,3,0.03,0.03%,n
条件,3,0.03,0.03%,n
关于,3,0.03,0.03%,p
做法,3,0.03,0.03%,v
设计,3,0.03,0.03%,vn
非法,3,0.03,0.03%,b
完,3,0.03,0.03%,v
主席,3,0.03,0.03%,n
毕业,3,0.03,0.03%,n
樊振东,3,0.03,0.03%,nr
处理,3,0.03,0.03%,v
新能源,3,0.03,0.03%,n
干,3,0.03,0.03%,v
妈妈,3,0.03,0.03%,n
违规,3,0.03,0.03%,vn
新闻,3,0.03,0.03%,n
晚,3,0.03,0.03%,t
最终,3,0.03,0.03%,d
涉嫌,3,0.03,0.03%,v
德国,3,0.03,0.03%,ns
工人,3,0.03,0.03%,n
V,3,0.03,0.03%,eng
淘汰,3,0.03,0.03%,v
百度,3,0.03,0.03%,n
全线,3,0.03,0.03%,n
收购,3,0.03,0.03%,v
暴跌,3,0.03,0.03%,v
YY,3,0.03,0.03%,eng
会议,3,0.03,0.03%,n
产品,3,0.03,0.03%,n
业务,3,0.03,0.03%,n
女,3,0.03,0.03%,b
